yyyy,Index,D12,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,news,vix,diffdp,diffdy,diffde,difflty,diffbm,difftbl
1871,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1872,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.074134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0758,NaN,0.07078,NaN,NaN,NaN
1873,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.091715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2325113,0.02801,0.027869,NaN,NaN,NaN
1874,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.058314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.02679,0.1372011,0,NaN,NaN,NaN
1875,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05715,-0.1220975,0.149812,NaN,NaN,NaN
1876,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1994002,0.03816,0.251314,NaN,NaN,NaN
1877,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3600506,-0.2573582,-0.525751,NaN,NaN,NaN
1878,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1137865,0.04264,-0.086857,NaN,NaN,NaN
1879,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2495738,0.04564,-0.098238,NaN,NaN,NaN
1880,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09094,-0.09257,0.00813,NaN,NaN,NaN
1881,6.01,0.32,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1789454,0.03622,0.31527,NaN,NaN,NaN
1882,5.84,0.32,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02869,-0.02869,0.02299,NaN,NaN,NaN
1883,5.34,0.33,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1202768,0.05947,0.103092,NaN,NaN,NaN
1884,4.34,0.31,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1448309,0.02698,0.192372,NaN,NaN,NaN
1885,5.2,0.24,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033202,NaN,NaN,NaN,NaN,0.023738903,NaN,NaN,NaN,NaN,NaN,NaN,-0.4367177,-0.04858,-0.117783,NaN,NaN,NaN
1886,5.64,0.22,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036061,NaN,NaN,NaN,NaN,0.016458602,NaN,NaN,NaN,NaN,NaN,NaN,-0.1682368,-0.2677957,-0.287682,NaN,NaN,NaN
1887,5.27,0.25,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048302,NaN,NaN,NaN,NaN,0.01829846,NaN,NaN,NaN,NaN,NaN,NaN,0.1956871,0.04661,0.040822,NaN,NaN,NaN
1888,5.14,0.23,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042261,NaN,NaN,NaN,NaN,0.012850602,NaN,NaN,NaN,NaN,NaN,NaN,-0.0584,-0.01553,0.242041,NaN,NaN,NaN
1889,5.32,0.22,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037429,NaN,NaN,NaN,NaN,0.006874038,NaN,NaN,NaN,NaN,NaN,NaN,-0.07887,-0.01947,-0.187553,NaN,NaN,NaN
1890,4.6,0.22,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045899,NaN,NaN,NaN,NaN,0.022621059,NaN,NaN,NaN,NaN,NaN,NaN,0.145417,-0.03442,0.033902,NaN,NaN,NaN
1891,5.41,0.22,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.049378,NaN,NaN,NaN,NaN,0.016123532,NaN,NaN,NaN,NaN,NaN,NaN,-0.1621928,0.145417,-0.159065,NaN,NaN,NaN
1892,5.51,0.24,0.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03252,NaN,NaN,NaN,NaN,0.01088616,NaN,NaN,NaN,NaN,NaN,NaN,0.0687,-0.07518,0.002454,NaN,NaN,NaN
1893,4.41,0.25,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.061334,NaN,NaN,NaN,NaN,0.05458439,NaN,NaN,NaN,NaN,NaN,NaN,0.2635119,0.02251,0.393643,NaN,NaN,NaN
1894,4.3,0.21,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024408,NaN,NaN,NaN,NaN,0.016738738,NaN,NaN,NaN,NaN,NaN,NaN,-0.1490937,0.04834,0.311154,NaN,NaN,NaN
1895,4.32,0.19,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025668,NaN,NaN,NaN,NaN,0.028689706,NaN,NaN,NaN,NaN,NaN,NaN,-0.1047238,-0.07482,-0.546371,NaN,NaN,NaN
1896,4.22,0.18,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046288,NaN,NaN,NaN,NaN,0.046433235,NaN,NaN,NaN,NaN,NaN,NaN,-0.03065,-0.05871,0.120286,NaN,NaN,NaN
1897,4.75,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.027567,NaN,NaN,NaN,NaN,0.022751517,NaN,NaN,NaN,NaN,NaN,NaN,-0.1183095,0.02342,-0.389465,NaN,NaN,NaN
1898,5.65,0.2,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030143,NaN,NaN,NaN,NaN,0.032424408,NaN,NaN,NaN,NaN,NaN,NaN,-0.06815,-0.01295,-0.016,NaN,NaN,NaN
1899,6.02,0.21,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029507,NaN,NaN,NaN,NaN,0.027096542,NaN,NaN,NaN,NaN,NaN,NaN,-0.01464,-0.1247208,-0.267063,NaN,NaN,NaN
1900,6.87,0.3,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037767,NaN,NaN,NaN,NaN,0.017160114,NaN,NaN,NaN,NaN,NaN,NaN,0.2245981,0.2932432,0.356675,NaN,NaN,NaN
1901,7.95,0.32,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034588,NaN,NaN,NaN,NaN,0.037292987,NaN,NaN,NaN,NaN,NaN,NaN,-0.08147,-0.06754,0.023717,NaN,NaN,NaN
1902,8.05,0.33,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.039023,NaN,NaN,NaN,NaN,0.013393028,NaN,NaN,NaN,NaN,NaN,NaN,0.01827,-0.1152362,-0.20034,NaN,NaN,NaN
1903,6.57,0.35,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046701,NaN,NaN,NaN,NaN,0.024745582,NaN,NaN,NaN,NaN,NaN,NaN,0.2619988,0.04634,0.231683,NaN,NaN,NaN
1904,8.25,0.31,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037016,NaN,NaN,NaN,NaN,0.01266884,NaN,NaN,NaN,NaN,NaN,NaN,-0.3490602,0.0818,-0.042889,NaN,NaN,NaN
1905,9.54,0.33,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033,NaN,NaN,NaN,NaN,0.015637005,NaN,NaN,NaN,NaN,NaN,NaN,-0.08276,-0.165179,-0.250352,NaN,NaN,NaN
1906,9.84,0.4,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04718,NaN,NaN,NaN,NaN,0.017091924,NaN,NaN,NaN,NaN,NaN,NaN,0.1614097,0.04709,0.066331,NaN,NaN,NaN
1907,6.57,0.44,0.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.051266,NaN,NaN,NaN,NaN,0.047979057,NaN,NaN,NaN,NaN,NaN,NaN,0.4992521,0.06435,0.236389,NaN,NaN,NaN
1908,9.03,0.4,0.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042991,NaN,NaN,NaN,NaN,0.020052109,NaN,NaN,NaN,NaN,NaN,NaN,-0.4133487,0.3086317,0.033902,NaN,NaN,NaN
1909,10.3,0.44,0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028697,NaN,NaN,NaN,NaN,0.010034856,NaN,NaN,NaN,NaN,NaN,NaN,-0.03628,-0.2227284,-0.17498,NaN,NaN,NaN
1910,9.05,0.47,0.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040689,NaN,NaN,NaN,NaN,0.018907775,NaN,NaN,NaN,NaN,NaN,NaN,0.1953371,-0.06563,0.106232,NaN,NaN,NaN
1911,9.11,0.47,0.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033204,NaN,NaN,NaN,NaN,0.007783574,NaN,NaN,NaN,NaN,NaN,NaN,-0.006608,0.1293791,0.212922,NaN,NaN,NaN
1912,9.38,0.48,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036837,NaN,NaN,NaN,NaN,0.006454296,NaN,NaN,NaN,NaN,NaN,NaN,-0.008154,0.01445,-0.149904,NaN,NaN,NaN
1913,8.04,0.48,0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048444,NaN,NaN,NaN,NaN,0.010675343,NaN,NaN,NaN,NaN,NaN,NaN,0.1541507,-0.02921,0.105361,NaN,NaN,NaN
1914,7.35,0.42,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040743,0.01,NaN,NaN,NaN,0.011600559,NaN,NaN,NaN,NaN,NaN,NaN,-0.0438,0.02062,0.05836,NaN,NaN,NaN
1915,9.48,0.43,0.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028425,0.01980198,NaN,NaN,NaN,0.019104943,NaN,NaN,NaN,NaN,NaN,NaN,-0.2309535,0.1132593,-0.502563,NaN,NaN,NaN
1916,9.8,0.56,1.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025152,0.126213592,NaN,NaN,NaN,0.017832474,NaN,NaN,NaN,NaN,NaN,NaN,0.2309535,0.009668,-0.28895,NaN,NaN,NaN
1917,6.8,0.69,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036474,0.181034483,NaN,NaN,NaN,0.035561568,NaN,NaN,NaN,NaN,NaN,NaN,0.5742146,0.1755567,0.387162,NaN,NaN,NaN
1918,7.9,0.57,0.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.048008,0.204379562,NaN,NaN,NaN,0.015361258,NaN,NaN,NaN,NaN,NaN,NaN,-0.3409954,0.1744045,0.065855,NaN,NaN,NaN
1919,8.92,0.53,0.93,NaN,NaN,0.0573,0.0777,0.049,NaN,NaN,0.045351,0.145454546,NaN,NaN,NaN,0.024540792,NaN,NaN,NaN,NaN,NaN,NaN,-0.1941925,-0.2226995,-0.010239,NaN,NaN,NaN
1920,6.81,0.51,0.8,NaN,0.0588,0.0626,0.0856,0.054,NaN,NaN,0.053759,0.026455027,NaN,NaN,NaN,0.0334078,NaN,NaN,NaN,NaN,NaN,NaN,0.2314375,-0.1598995,0.112107,0.005,NaN,NaN
1921,7.31,0.46,0.29,0.596534654,0.039,0.055,0.0761,0.0447,NaN,NaN,0.05354,-0.108247423,NaN,NaN,NaN,0.01901912,NaN,NaN,NaN,NaN,NaN,NaN,-0.1740354,0.1667196,0.911547,-0.0093,NaN,-0.0198
1922,8.78,0.51,0.69,0.472649486,0.0365,0.0508,0.0702,0.0432,NaN,NaN,0.035564,-0.023121387,NaN,NaN,NaN,0.014713101,NaN,NaN,NaN,NaN,NaN,NaN,-0.08005,0.03233,-0.763626,-0.0015,-0.1238852,-0.0025
1923,8.55,0.53,0.98,0.540201005,0.0388,0.0509,0.0738,0.0435,NaN,NaN,0.039625,0.023668639,NaN,NaN,NaN,0.015696907,NaN,NaN,NaN,NaN,NaN,NaN,0.06501,-0.1447669,-0.312395,0.0003,0.06755,0.0023
1924,10.16,0.55,0.93,0.45888308,0.0257,0.0495,0.0646,0.0396,NaN,NaN,0.030409,0,NaN,NaN,NaN,0.010721562,NaN,NaN,NaN,NaN,NaN,NaN,-0.1354859,0.06359,0.089409,-0.0039,-0.08132,-0.0131
1925,12.46,0.6,1.25,0.389378271,0.0351,0.0485,0.0615,0.038,NaN,NaN,0.028754,0.034682081,NaN,NaN,NaN,0.013528506,NaN,NaN,NaN,NaN,NaN,NaN,-0.1170537,-0.08552,-0.208703,-0.0016,-0.0695,0.0094
1926,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,NaN,0.050876177,0.032898,-0.011173184,NaN,0.07769524,0.073744405,0.016486225,NaN,NaN,0.122004602,0.066031023,NaN,NaN,0.06034,-0.0643,0.147794,-0.0026,0.0521,-0.0044
1927,17.66,0.77,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,NaN,0.076471109,0.03039,-0.02259887,0.265512354,0.089448628,0.074436369,0.009419065,NaN,NaN,0.358791645,0.294560247,NaN,NaN,-0.1596546,0.03027,0.22045,-0.0038,-0.06679,0.001
1928,24.35,0.85,1.38,0.259666667,0.0426,0.0461,0.056,0.034,NaN,0.063068738,0.037847,-0.011560694,0.497429287,0.000827246,0.028411562,0.019799325,NaN,NaN,0.388440408,0.333130679,NaN,NaN,-0.2223838,-0.1705077,-0.118878,0.0024,-0.1150219,0.0109
1929,21.45,0.97,1.61,0.338457824,0.0303,0.0467,0.0595,0.034,NaN,0.163522172,0.046385,0.005847953,0.72059294,0.034099467,0.032730041,0.124614012,NaN,NaN,-0.088346978,-0.121345415,NaN,NaN,0.2588669,-0.1891699,-0.022091,0,0.07879,-0.0123
1930,15.34,0.98,0.97,0.554745413,0.0148,0.0452,0.0671,0.033,NaN,0.113885891,0.024314,-0.063953488,0.307847488,0.046429195,0.079750525,0.066648919,NaN,NaN,-0.263028518,-0.295860555,NaN,NaN,0.3455173,0.1370637,0.51695,-0.001,0.2162876,-0.0155
1931,8.12,0.82,0.61,1.170731707,0.0241,0.0532,0.1042,0.0407,NaN,-0.012921001,0.009682,-0.093167702,0.144664698,-0.053157349,-0.01850982,0.15940274,NaN,NaN,-0.455253213,-0.489203534,NaN,NaN,0.4578854,0.1570126,0.285589,0.0077,0.6159863,0.0093
1932,6.89,0.5,0.41,1.442084301,0.0004,0.0459,0.0842,0.0315,NaN,-0.00503248,0.01262,-0.102739726,0.037267081,0.168452113,0.108202241,0.307451657,NaN,NaN,-0.088907379,-0.148369395,NaN,NaN,-0.3304372,0.1414374,-0.097394,-0.0092,0.2713526,-0.0237
1933,10.1,0.44,0.44,0.829026046,0.0029,0.045,0.0775,0.0336,NaN,0.006195828,0.003726,0.007633588,0.401055409,-0.000693027,0.103760563,0.221816956,NaN,NaN,0.532511723,0.472273114,NaN,NaN,-0.5102977,0.03643,-0.198451,0.0021,-0.6130583,0.0025
1934,9.5,0.45,0.49,0.773740869,0.0023,0.0381,0.0623,0.0293,NaN,0.020812716,0.002227,0.015151515,0.071283096,0.100149979,0.138434461,0.06659176,NaN,NaN,-0.024841879,-0.06188622,NaN,NaN,0.08372,-0.3599915,-0.085158,-0.0043,-0.05529,-0.0006
1935,13.43,0.47,0.76,0.559911191,0.0015,0.0344,0.053,0.0276,NaN,0.008688835,0.001826,0.029850746,0.06619594,0.049960876,0.096148561,0.035506836,NaN,NaN,0.45633068,0.39969069,NaN,NaN,-0.3027141,0.1047287,-0.395428,-0.0017,-0.2138297,-0.0008
1936,17.18,0.72,1.02,0.458588105,0.0012,0.031,0.0453,0.0255,NaN,0.025224722,0.001776,0.014492754,0.120576671,0.074958063,0.067442837,0.031256437,NaN,NaN,0.334178354,0.279453312,NaN,NaN,0.1802636,0.08032,0.132279,-0.0021,-0.1013231,-0.0003
1937,10.55,0.8,1.13,0.707488622,0.0011,0.0321,0.0573,0.0273,NaN,0.0317754,0.002928,0.028571429,0.312371558,0.002326474,0.027467315,0.099632593,0.002833122,NaN,-0.359935285,-0.394225009,NaN,NaN,0.5929806,-0.1408944,0.002946,0.0018,0.2489005,-0.0001
1938,13.21,0.51,0.64,0.572039388,0.0003,0.0308,0.0527,0.0252,NaN,0.005721713,0.0008,-0.027777778,0.044922789,0.055118173,0.061326554,0.11214283,0.004166964,NaN,0.29308403,0.242537273,NaN,NaN,-0.6750493,0.03742,0.118304,-0.0021,-0.1354492,-0.0008
1939,12.49,0.62,0.9,0.58070538,0.0004,0.0294,0.0492,0.0226,NaN,0.002550784,0.000575,0,0.085489834,0.059497143,0.03966276,0.066420314,0.006074034,NaN,-0.011042432,-0.056695143,NaN,NaN,0.2513545,-0.02954,-0.145618,-0.0026,0.008666,0.0001
1940,10.58,0.67,1.05,0.72904751,0.0002,0.0271,0.0445,0.0194,NaN,0.012589189,0.000525,0.007142857,0.118711545,0.060922431,0.033940852,0.048049995,0.004261973,NaN,-0.097791805,-0.151699658,NaN,NaN,0.2435211,0.133604,-0.076592,-0.0032,0.1483421,-0.0002
1941,8.69,0.71,1.16,0.889509733,0.0033,0.028,0.0438,0.0204,NaN,0.010342826,0.000875,0.09929078,0.11420932,0.009318208,0.027314184,0.022472428,0.003446983,NaN,-0.113972166,-0.176767922,NaN,NaN,0.2547797,0.2239502,-0.041643,0.001,0.1604622,0.0031
1942,9.77,0.59,1.03,0.862646566,0.0038,0.0281,0.0428,0.0246,NaN,0.001812004,0.003329,0.090322581,0.123800384,0.032178429,0.025981138,0.018050979,0.005100943,NaN,0.209608774,0.129990877,NaN,NaN,-0.302286,0.01165,-0.066281,0.0042,-0.02686,0.0005
1943,11.67,0.61,0.94,0.787401575,0.0038,0.0274,0.0382,0.0248,NaN,0.014422539,0.003805,0.029585799,0.164305949,0.0208789,0.028325935,0.01608653,0.001962398,NaN,0.266658807,0.203312701,NaN,NaN,-0.1443686,-0.08381,0.124771,0.0002,-0.07524,0
1944,13.28,0.64,0.93,0.743763575,0.0038,0.027,0.0349,0.0246,NaN,0.019062447,0.003805,0.022988506,0.164524422,0.028150892,0.047321891,0.008399503,0.003522317,NaN,0.211633507,0.151353138,NaN,NaN,-0.08123,-0.1296958,0.058705,-0.0002,-0.04364,0
1945,17.36,0.66,0.96,0.613239334,0.0038,0.0261,0.031,0.0199,-0.052603832,0.025525278,0.003805,0.02247191,0.211740042,0.107309039,0.040756743,0.015969244,0.004328006,NaN,0.366645234,0.309747175,NaN,NaN,-0.2371379,-0.09847,-0.000977,-0.0047,-0.1305242,0
1946,15.3,0.71,1.06,0.692437923,0.0038,0.0261,0.0317,0.0212,0.05751219,0.03607606,0.003805,0.181318681,0.318482102,-0.000841924,0.017229556,0.046371092,0.001781041,NaN,-0.09279653,-0.128428177,NaN,NaN,0.199341,-0.1948844,-0.026066,0.0013,0.0792,0
1947,15.3,0.84,1.61,0.725325679,0.0095,0.0286,0.0352,0.0243,0.077722662,0.025921595,0.004858,0.088372093,0.239629866,-0.026274662,-0.023363835,0.01933852,0.004760925,0.034612683,0.049090889,-0.006499786,NaN,NaN,0.1681369,0.2944528,-0.249828,0.0031,0.03289,0.0057
1948,15.2,0.93,2.29,0.840947547,0.0116,0.0279,0.0353,0.0237,0.053876203,0.015014554,0.010138,0.02991453,0.157140449,0.033850148,0.041358787,0.02209981,0.00163301,0.034894678,0.052581722,-0.008405079,NaN,NaN,0.1083401,0.1017827,-0.250535,-0.0006,0.1156219,0.0021
1949,16.76,1.14,2.32,0.796429284,0.011,0.0258,0.0331,0.0209,0.05073565,0.027175585,0.011474,-0.020746888,0.191869113,0.06439053,0.033087624,0.012305916,0.004252018,0.029348021,0.180574489,0.097705313,NaN,NaN,0.1058993,0.2101564,0.190584,-0.0028,-0.04452,-0.0006
1950,20.41,1.47,2.84,0.722538442,0.0134,0.0267,0.032,0.0224,0.003779413,0.031358256,0.011726,0.059322034,0.227022781,0.00050483,0.021151812,0.021461309,0.005662515,0.034444845,0.329458209,0.230298829,NaN,NaN,0.0572,0.1565345,0.051997,0.0015,-0.07389,0.0024
1951,23.77,1.41,2.44,0.721316347,0.0173,0.0301,0.0361,0.0269,0.003907129,0.036150788,0.014629,0.06,0.264823666,-0.039421605,-0.02690309,0.01218224,0.004146893,0.032641895,0.234250517,0.160197552,NaN,NaN,-0.194072,-0.2387026,0.110133,0.0045,-0.001222,0.0039
1952,26.57,1.41,2.4,0.694073313,0.0209,0.0297,0.0351,0.0279,-0.000655606,0.026534716,0.016931,0.00754717,0.202497115,0.011693102,0.035209224,0.006590011,0.003445919,0.032668301,0.189422478,0.12279706,NaN,NaN,-0.1113585,-0.1523993,0.016529,0.001,-0.02724,0.0036
1953,24.81,1.45,2.51,0.759700961,0.016,0.0313,0.0374,0.0274,-0.019503226,0.024822272,0.02015,0.007490637,0.203978422,0.036258194,0.034114425,0.008279479,0.00279331,0.034003722,-0.017075142,-0.073017005,NaN,NaN,0.09651,-0.08338,-0.01684,-0.0005,0.06563,-0.0049
1954,35.98,1.54,2.77,0.604119785,0.0115,0.029,0.0345,0.0272,0.007086196,0.026992812,0.010742,-0.007434944,0.213197436,0.071776468,0.053858485,0.008389814,0.002845475,0.032552793,0.526483051,0.449936781,NaN,NaN,-0.3114976,0.1287548,-0.038346,-0.0002,-0.1555812,-0.0045
1955,45.48,1.64,3.62,0.50982801,0.0254,0.0315,0.0362,0.0295,-0.009458474,0.02524455,0.014855,0.003745318,0.275390625,-0.012834489,0.00479737,0.021620209,0.000243799,0.036592926,0.312982489,0.257907838,NaN,NaN,-0.1713956,-0.3088026,-0.204713,0.0023,-0.09429,0.0139
1956,46.67,1.74,3.41,0.544176827,0.0321,0.0375,0.0437,0.0345,-0.017590444,0.026149367,0.02554,0.029850746,0.268488893,-0.055942165,-0.068146268,0.013889924,0.000969841,0.035562063,0.064274332,0.02180892,NaN,NaN,0.03336,-0.1751206,0.118951,0.005,0.03435,0.0067
1957,39.99,1.79,3.37,0.653675779,0.0304,0.0381,0.0503,0.0323,-0.012732362,0.034873147,0.03318,0.028985507,0.227001009,0.074664669,0.087135458,0.017546851,0.000667927,0.034133663,-0.108147815,-0.1470137,NaN,NaN,0.1828026,0.002502,0.04013,-0.0022,0.109499,-0.0017
1958,55.21,1.75,2.89,0.51177932,0.0277,0.0408,0.0485,0.0382,0.010228356,0.023686832,0.019151,0.017605634,0.164835165,-0.061062035,-0.022169912,0.008489224,0.001585812,0.030798116,0.437416855,0.382752522,NaN,NaN,-0.3451145,0.1318723,0.131056,0.0059,-0.1418965,-0.0027
1959,59.89,1.83,3.39,0.457783797,0.0449,0.0458,0.0528,0.0447,0.007802547,0.022856304,0.032434,0.017301038,0.262439725,-0.022663557,-0.009667896,0.008449291,0.000975372,0.03255196,0.124008285,0.0880547,NaN,NaN,-0.03667,-0.2778145,-0.114873,0.0065,-0.054,0.0172
